n_prototypes_total,n_prototypes_class_0,n_prototypes_class_1,gmean_full,gmean_prototypes,delta_gmean,selection_time,valid,fold,config_name
164,124,40,0.8933084573650918,0.7028513356322231,-0.19045712173286866,2.132143020629883,True,1,baseline
173,132,41,0.9119210492142398,0.7383765976789892,-0.17354445153525055,2.0984280109405518,True,2,baseline
164,129,35,0.8585452812752511,0.563826214360418,-0.29471906691483307,2.1180410385131836,True,3,baseline
171,132,39,0.8450443775329198,0.5728001396647875,-0.27224423786813234,2.6427738666534424,True,4,baseline
158,122,36,0.8872429205127533,0.6482283548256741,-0.23901456568707924,2.730890989303589,True,5,baseline
161,123,38,0.8924124606929242,0.6349803146555018,-0.2574321460374225,2.1660637855529785,True,6,baseline
150,116,34,0.8826097665446491,0.6523036102920173,-0.23030615625263173,2.323745012283325,True,7,baseline
152,115,37,0.9124143795447329,0.643117407632541,-0.26929697191219193,3.0007128715515137,True,8,baseline
161,124,37,0.8779521627059187,0.7422937423958254,-0.13565842031009334,2.20583176612854,True,9,baseline
166,127,39,0.9319334740205439,0.5310367218940701,-0.4008967521264738,2.435560941696167,True,10,baseline
166,129,37,0.8933084573650918,0.5469917732470937,-0.3463166841179981,2.4352428913116455,True,1,k_neighbors_28
174,135,39,0.9119210492142398,0.5143928459844674,-0.39752820322977234,2.3054656982421875,True,2,k_neighbors_28
169,129,40,0.8585452812752511,0.40914545090957566,-0.44939983036567543,2.085644006729126,True,3,k_neighbors_28
168,131,37,0.8450443775329198,0.4607602413403309,-0.38428413619258894,2.082684278488159,True,4,k_neighbors_28
171,137,34,0.8872429205127533,0.4824935232725927,-0.4047493972401606,2.0608088970184326,True,5,k_neighbors_28
175,136,39,0.8924124606929242,0.47623523599162626,-0.416177224701298,2.092005968093872,True,6,k_neighbors_28
164,130,34,0.8826097665446491,0.4559605246071199,-0.4266492419375292,2.069091796875,True,7,k_neighbors_28
166,129,37,0.9124143795447329,0.43474130238568315,-0.4776730771590498,2.0775299072265625,True,8,k_neighbors_28
174,137,37,0.8779521627059187,0.5143928459844674,-0.36355931672145125,2.1163699626922607,True,9,k_neighbors_28
166,130,36,0.9319334740205439,0.3402939905434711,-0.5916394834770728,2.112665891647339,True,10,k_neighbors_28
171,130,41,0.8933084573650918,0.58642987645583,-0.3068785809092618,2.178835868835449,True,1,k_neighbors_56
172,129,43,0.9119210492142398,0.6148170459575759,-0.29710400325666386,2.077078104019165,True,2,k_neighbors_56
170,128,42,0.8585452812752511,0.46861498055439926,-0.38993030072085183,2.089945077896118,True,3,k_neighbors_56
170,127,43,0.8450443775329198,0.5366563145999496,-0.3083880629329703,2.149783134460449,True,4,k_neighbors_56
175,137,38,0.8872429205127533,0.5008991914547277,-0.3863437290580256,2.100184917449951,True,5,k_neighbors_56
175,132,43,0.8924124606929242,0.49040799340956914,-0.4020044672833551,2.073009967803955,True,6,k_neighbors_56
173,133,40,0.8826097665446491,0.510294032886923,-0.3723157336577261,2.1388399600982666,True,7,k_neighbors_56
169,129,40,0.9124143795447329,0.4724404724407087,-0.43997390710402423,2.1974449157714844,True,8,k_neighbors_56
171,133,38,0.8779521627059187,0.5513619500836089,-0.3265902126223098,2.102175235748291,True,9,k_neighbors_56
167,126,41,0.9319334740205439,0.39191835884530846,-0.5400151151752355,2.1747171878814697,True,10,k_neighbors_56
172,130,42,0.8933084573650918,0.6131068422387733,-0.28020161512631847,2.138664960861206,True,1,k_neighbors_84
173,131,42,0.9119210492142398,0.562316636780382,-0.34960441243385776,2.1317901611328125,True,2,k_neighbors_84
180,133,47,0.8585452812752511,0.46861498055439926,-0.38993030072085183,2.085127830505371,True,3,k_neighbors_84
171,128,43,0.8450443775329198,0.5338539126015656,-0.31119046493135427,2.0743408203125,True,4,k_neighbors_84
175,135,40,0.8872429205127533,0.519807656734681,-0.36743526377807234,2.099632978439331,True,5,k_neighbors_84
180,131,49,0.8924124606929242,0.5912698199637794,-0.3011426407291449,2.0889852046966553,True,6,k_neighbors_84
178,135,43,0.8826097665446491,0.5253570214625479,-0.35725274508210114,2.093859910964966,True,7,k_neighbors_84
178,132,46,0.9124143795447329,0.510294032886923,-0.40212034665780994,2.0707900524139404,True,8,k_neighbors_84
174,132,42,0.8779521627059187,0.5394441583704471,-0.33850800433547157,2.071768045425415,True,9,k_neighbors_84
171,129,42,0.9319334740205439,0.5296225070746144,-0.4023109669459295,2.134312868118286,True,10,k_neighbors_84
