config_name,k_neighbors,min_persistence,neighbor_quantile,homology_dimension,radius_statistic,n_prototypes_total_mean,n_prototypes_total_std,n_prototypes_total_se,n_prototypes_total_ci_lower,n_prototypes_total_ci_upper,n_prototypes_class_0_mean,n_prototypes_class_0_std,n_prototypes_class_0_se,n_prototypes_class_0_ci_lower,n_prototypes_class_0_ci_upper,n_prototypes_class_1_mean,n_prototypes_class_1_std,n_prototypes_class_1_se,n_prototypes_class_1_ci_lower,n_prototypes_class_1_ci_upper,gmean_full_mean,gmean_full_std,gmean_full_se,gmean_full_ci_lower,gmean_full_ci_upper,gmean_prototypes_mean,gmean_prototypes_std,gmean_prototypes_se,gmean_prototypes_ci_lower,gmean_prototypes_ci_upper,delta_gmean_mean,delta_gmean_std,delta_gmean_se,delta_gmean_ci_lower,delta_gmean_ci_upper,selection_time_mean,selection_time_std,selection_time_se,selection_time_ci_lower,selection_time_ci_upper,n_valid_folds,prototype_ratio,varied_param,varied_value
baseline,1,0.001,0.05,0,mean,162.0,7.363574011458174,2.328566559543064,156.73241647814714,167.26758352185286,124.4,5.872724145478731,1.8571184369578826,120.19890622556733,128.60109377443268,37.6,2.2211108331943574,0.7023769168568492,36.0111130265089,39.1888869734911,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.6429814439032049,0.0718398125163814,0.02271774342312376,0.5915903378947038,0.6943725499117059,-0.2463569890376977,0.07343376065492659,0.0232217940821226,-0.29888833685489424,-0.19382564122050114,2.3854191303253174,0.31070862998438625,0.09825469594211476,2.1631515661158107,2.607686694534824,10,124.4:37.6 (76.8%:23.2%),none,baseline
k_neighbors_28,28,0.001,0.05,0,mean,169.3,3.973523485382827,1.256538454998051,166.45751253362454,172.14248746637548,132.3,3.497618237219913,1.1060440015358037,129.79795463949398,134.80204536050604,37.0,2.0,0.6324555320336759,35.56928618802332,38.43071381197668,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.4635407734266428,0.05934785750162411,0.018767440395624228,0.4210858737072441,0.5059956731460415,-0.4257976595142596,0.06992163140429478,0.022111161295232915,-0.47581658141729305,-0.3757787376112261,2.1437509298324584,0.12447976593711152,0.03936395829659165,2.054703469613534,2.232798390051383,10,132.3:37.0 (78.1%:21.9%),k_neighbors,28
k_neighbors_56,56,0.001,0.05,0,mean,171.3,2.5407785333546005,0.8034647195462632,169.48243652957788,173.11756347042214,130.4,3.3399933466334266,1.0561986345169907,128.01071269353068,132.78928730646933,40.9,1.911950719959998,0.604611904907235,39.53227284856724,42.26772715143276,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5123840216688601,0.06388022071245837,0.020200699488563248,0.4666868646261436,0.5580811787115766,-0.37695441127204243,0.0745284523859592,0.023567966002704152,-0.4302688543789615,-0.32363996816512336,2.12820143699646,0.04556643371922243,0.014409371540384023,2.0956051739541546,2.1607977000387657,10,130.4:40.9 (76.1%:23.9%),k_neighbors,56
k_neighbors_84,84,0.001,0.05,0,mean,175.2,3.552776691859794,1.1234866364235143,172.65849665804367,177.7415033419563,131.6,2.3190036174568114,0.7333333333333333,129.94108474724032,133.25891525275966,43.6,2.7968235951204043,0.8844332774281066,41.599272926399486,45.60072707360052,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5393687568668113,0.04111425970458735,0.013001470497817755,0.5099573872525366,0.568780126481086,-0.3499696760740912,0.04255876565285882,0.013458263386837678,-0.3804143829942031,-0.31952496915397927,2.0989272832870483,0.026584163182119674,0.008406650534508777,2.079910118564798,2.1179444480092986,10,131.6:43.6 (75.1%:24.9%),k_neighbors,84
k_neighbors_111,111,0.001,0.05,0,mean,182.3,3.4657049948186747,1.0959521481849064,179.8207839978382,184.77921600216183,135.3,4.001388647846033,1.2653501930734867,132.43757899722002,138.16242100278,47.0,2.0,0.6324555320336759,45.56928618802332,48.43071381197668,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5577378835547847,0.0562578710328062,0.017790300877567684,0.5174934269952655,0.597982340114304,-0.33160054938611777,0.053115083938245225,0.016796464335588117,-0.36959679149349184,-0.2936043072787437,2.14322247505188,0.04327585192045747,0.013685025975281751,2.1122647955180516,2.174180154585708,10,135.3:47.0 (74.2%:25.8%),k_neighbors,111
k_neighbors_139,139,0.001,0.05,0,mean,187.4,4.376706016578627,1.3840359661351127,184.26909312555978,190.53090687444023,139.7,4.056544780420346,1.2827920936595902,136.79812267687535,142.60187732312463,47.7,1.8287822299126937,0.5783117190965824,46.3917680022832,49.008231997716805,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5527299345700241,0.05021752051732266,0.015880174328097667,0.5168064844663461,0.588653384673702,-0.3366084983708784,0.048214134083357174,0.015246647911616323,-0.37109881215365575,-0.3021181845881011,2.162700581550598,0.07727104833547399,0.02443525099290604,2.107424203490858,2.217976959610338,10,139.7:47.7 (74.5%:25.5%),k_neighbors,139
k_neighbors_167,167,0.001,0.05,0,mean,195.8,5.138093031466052,1.6248076809271919,192.1244296663302,199.47557033366982,147.1,4.701063709417263,1.4866068747318504,143.7370616099772,150.4629383900228,48.7,2.1108186931983415,0.6674994798166927,47.190011270531286,50.20998872946872,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5600654644698729,0.0483813038745978,0.015299511641245846,0.525455564622459,0.5946753643172868,-0.32927296847102955,0.043530745080471306,0.013765630269845898,-0.36041298758716267,-0.2981329493548964,2.2907314777374266,0.36010043984574774,0.11387375763410153,2.0331311412443323,2.548331814230521,10,147.1:48.7 (75.1%:24.9%),k_neighbors,167
k_neighbors_194,194,0.001,0.05,0,mean,202.3,4.691600058733812,1.483614205617859,198.9438314978495,205.65616850215054,152.8,4.984420171338331,1.5762120556715848,149.23436060808555,156.36563939191447,49.5,1.8408935028645435,0.582141639885766,48.183104119536786,50.816895880463214,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5667547548644161,0.04759841078784554,0.015051939109392154,0.5327049029932609,0.6008046067355712,-0.32258367807648636,0.04219343532163293,0.013342735792335922,-0.3527670434211888,-0.2924003127317839,2.1431183099746702,0.024135484080706014,0.0076323102125766176,2.1258528247581654,2.160383795191175,10,152.8:49.5 (75.5%:24.5%),k_neighbors,194
k_neighbors_222,222,0.001,0.05,0,mean,208.4,4.3256341860022225,1.367885635245546,205.30562771226406,211.49437228773596,157.7,4.191260749066641,1.3253930234714026,154.7017526783573,160.69824732164267,50.7,1.70293863659264,0.5385164807134504,49.48179108583909,51.918208914160914,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5623178053838894,0.05762605263677014,0.018222957889694535,0.5210946106653284,0.6035410001024505,-0.327020627557013,0.04662168479436084,0.014743071230461908,-0.36037177174347057,-0.29366948337055543,2.2283422231674193,0.10084204914751523,0.03188905592247891,2.1562041668957286,2.30048027943911,10,157.7:50.7 (75.7%:24.3%),k_neighbors,222
k_neighbors_250,250,0.001,0.05,0,mean,214.0,4.189935029992179,1.3249737942901194,211.00270104065262,216.99729895934738,163.4,4.971027168615266,1.5719768163402126,159.84394138507542,166.9560586149246,50.6,1.2649110640673518,0.39999999999999997,49.69513713485836,51.50486286514164,0.8893384329409025,0.025758530285451622,0.008145562488045429,0.8709118904130949,0.9077649754687102,0.5586019813403363,0.059290494297620656,0.01874930055777065,0.5161881167850711,0.6010158458956015,-0.3307364516005661,0.050157767202723795,0.015861278670909966,-0.36661715675799,-0.29485574644314216,2.1900973558425902,0.09220297432332569,0.02915714059037315,2.1241393214077338,2.2560553902774467,10,163.4:50.6 (76.4%:23.6%),k_neighbors,250
